Unnamed: 0,heading,latitude,longitude,traceid,sampledate,speed
2202,97.0,53.55530776959378,10.056791335272958,NAsEo3VTjyuFYA45t9dOw,2024-07-12 05:34:14,14.0
2212,173.0,53.55498553022918,10.057435378413862,NAsEo3VTjyuFYA45t9dOw,2024-07-12 05:34:24,28.0
2222,175.0,53.55448359414156,10.057511769876893,NAsEo3VTjyuFYA45t9dOw,2024-07-12 05:34:34,11.0
2275,273.0,53.56086332,10.05634481,3RfyJVpQeurpWAiJxRISg,2024-07-12 04:33:45,28.0
2285,270.0,53.56092586,10.05596277,3RfyJVpQeurpWAiJxRISg,2024-07-12 04:33:58,0.0
2325,274.0,53.56122416,10.04879338,3RfyJVpQeurpWAiJxRISg,2024-07-12 04:34:38,30.0
2371,111.0,53.558175,10.046788333333334,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:55:15,17.0
2381,93.0,53.55789,10.046981666666666,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:57:42,1.0
2391,100.0,53.55802666666667,10.047751666666668,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:58:56,30.0
2401,99.0,53.5579,10.049068333333334,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:59:06,30.0
2411,104.0,53.55764333333333,10.050445,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:59:16,38.0
2421,99.0,53.557516666666665,10.052038333333334,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:59:26,38.0
2431,143.0,53.55724,10.053086666666667,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:59:36,19.0
2441,10.0,53.557460000000006,10.053455,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:59:46,29.0
2451,17.0,53.558371666666666,10.053873333333334,wAJudzGrQwGCqLgt4AD74w,2024-07-12 03:59:56,35.0
2461,17.0,53.55924,10.054403333333331,wAJudzGrQwGCqLgt4AD74w,2024-07-12 04:00:06,35.0
2481,100.0,53.55238110938202,10.046837168700506,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:19:31,31.0
2491,1.0,53.55268386718752,10.047157734440455,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:19:41,17.0
2501,1.0,53.55311970991503,10.047187062826346,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:19:51,14.0
2511,1.0,53.55345622612936,10.047208527905246,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:20:01,12.0
2521,1.0,53.553619692819986,10.0472196633472,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:20:11,1.0
2531,1.0,53.55345890144422,10.047192454866392,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:20:21,4.0
2541,1.0,53.55323891775259,10.047201573846456,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:20:31,1.0
2551,1.0,53.553028539649574,10.047193670854462,fDGfy4maRT2awTMFgUOIkQ,2024-07-12 05:20:49,2.0
2590,275.0,53.55496198029336,10.057655325253386,0VpIlniERX23qcQ4oUqTGg,2024-07-12 03:19:44,17.0
2751,91.0,53.555345127306154,10.049708530342858,lz4EwGhYRVC4H9RWr4EMbQ,2024-07-12 04:24:34,28.0
2761,94.0,53.55532632076883,10.050137523810491,lz4EwGhYRVC4H9RWr4EMbQ,2024-07-12 04:24:44,1.0
2771,91.0,53.55531533781385,10.050804122127412,lz4EwGhYRVC4H9RWr4EMbQ,2024-07-12 04:24:54,29.0
2781,92.0,53.55529109685627,10.052264171063708,lz4EwGhYRVC4H9RWr4EMbQ,2024-07-12 04:25:04,31.0
2808,96.0,53.554912071744326,10.056856214148256,lz4EwGhYRVC4H9RWr4EMbQ,2024-07-12 04:25:31,20.0
2818,96.0,53.55486829193271,10.057333423291016,lz4EwGhYRVC4H9RWr4EMbQ,2024-07-12 04:25:46,17.0
2847,94.0,53.560811,10.0545835,mQG5oJbyT4uRbbXtn4VxvQ,2024-07-12 05:38:26,5.0
2991,56.0,53.56045116204768,10.052398620173337,mRW93b2QlaAgfFWcdGwg,2024-07-12 04:33:20,29.0
3001,59.0,53.5606729472056,10.052935732528567,mRW93b2QlaAgfFWcdGwg,2024-07-12 04:33:30,1.0
3011,53.0,53.56077038682997,10.053124073892832,mRW93b2QlaAgfFWcdGwg,2024-07-12 04:33:49,17.0
3028,84.0,53.56084435712546,10.055729672312737,mRW93b2QlaAgfFWcdGwg,2024-07-12 04:34:06,34.0
3038,98.0,53.56073526665568,10.057054096832871,mRW93b2QlaAgfFWcdGwg,2024-07-12 04:34:16,38.0
3106,139.0,53.55756785747903,10.044876584735649,sdjK0afQ4uFPOQx6tLWg,2024-07-12 04:48:26,2.0
3117,86.0,53.561182,10.046051,HsGGMmFmR5KusYcXfTdK2Q,2024-07-12 05:43:48,12.0
3128,100.0,53.560445,10.059964,HsGGMmFmR5KusYcXfTdK2Q,2024-07-12 05:46:39,25.0
3184,273.0,53.5609649332423,10.053709742265426,3KYOi8e3Ro2VjGEck40Cg,2024-07-12 03:25:10,33.0
3209,235.0,53.5597136,10.049961933333332,3KYOi8e3Ro2VjGEck40Cg,2024-07-12 03:25:35,35.0
3219,234.0,53.559232766666675,10.04866555,3KYOi8e3Ro2VjGEck40Cg,2024-07-12 03:25:45,35.0
3229,236.0,53.558860833333334,10.047787766666668,3KYOi8e3Ro2VjGEck40Cg,2024-07-12 03:25:55,11.0
3239,235.0,53.55861305,10.047141666666668,3KYOi8e3Ro2VjGEck40Cg,2024-07-12 03:26:31,30.0
3297,0.0,53.55201967634487,10.046557870533562,9A7xxrdTtOURkThMkLq3A,2024-07-12 03:42:46,1.0
3307,39.0,53.5523762972686,10.046740600233727,9A7xxrdTtOURkThMkLq3A,2024-07-12 03:43:53,5.0
3351,0.0,53.55201100630049,10.045626882137777,SyDLxDARGGj5rh9IuSw,2024-07-12 03:24:17,3.0
3361,129.0,53.55192409443404,10.045966819647465,SyDLxDARGGj5rh9IuSw,2024-07-12 03:24:27,4.0
3371,125.0,53.55189315243108,10.046319687235888,SyDLxDARGGj5rh9IuSw,2024-07-12 03:25:33,1.0
3381,33.0,53.55199470811564,10.04670629473464,SyDLxDARGGj5rh9IuSw,2024-07-12 03:28:16,1.0
3466,285.0,53.55446012611802,10.06199957818258,wv0EH4HTkSTtOiJxiTbcQ,2024-07-12 05:58:20,26.0
3476,285.0,53.55457862867499,10.061280128076357,wv0EH4HTkSTtOiJxiTbcQ,2024-07-12 05:58:30,31.0
3532,270.0,53.555407216483744,10.050409827497148,wv0EH4HTkSTtOiJxiTbcQ,2024-07-12 05:59:26,39.0
3552,269.0,53.55542765711035,10.04726448471245,wv0EH4HTkSTtOiJxiTbcQ,2024-07-12 05:59:46,30.0
3585,267.0,53.55206992,10.0494952,5rXbMgC2T2E5e3M32VXrw,2024-07-12 03:02:57,11.0
3615,281.0,53.552354,10.047185,geoFQGK0QBOQiZpC8Aw,2024-07-12 03:59:04,39.0
3636,32.0,53.55297822,10.05520287,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:07:13,28.0
3646,23.0,53.55377396,10.0558398,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:07:23,34.0
3656,89.0,53.55396642,10.05703842,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:07:34,29.0
3666,44.0,53.55402832,10.05769642,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:07:44,23.0
3676,24.0,53.55436844,10.05771107,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:07:55,5.0
3686,6.0,53.55459966,10.05760092,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:09:18,10.0
3714,303.0,53.55566766,10.05375646,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:09:47,39.0
3724,359.0,53.55649275,10.05319966,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:09:57,37.0
3734,21.0,53.55718155,10.05348028,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:10:08,18.0
3753,19.0,53.55871765,10.05419672,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:10:27,39.0
3767,17.0,53.55999318,10.05488557,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:10:41,31.0
3777,27.0,53.56055264,10.0551941,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:10:51,10.0
3787,17.0,53.56103956,10.05543636,Ww2Ol5sGQuMfXP08cHLgQ,2024-07-12 00:11:19,38.0
3897,18.0,53.55942156029002,10.054494146200676,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:38:39,21.0
3907,18.0,53.559859443734545,10.054753904928097,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:38:49,14.0
3917,18.0,53.56014182955005,10.05489381343166,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:38:59,10.0
3927,18.0,53.56035920686816,10.055029397491149,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:39:09,9.0
3937,18.0,53.560551000345654,10.05513255713558,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:39:19,4.0
3947,18.0,53.56062845749318,10.05515281818612,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:40:06,3.0
3957,17.0,53.56081894184731,10.055264920259509,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:40:22,16.0
3967,273.0,53.56098510997124,10.054665343716142,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:40:32,16.0
3977,273.0,53.56102365878492,10.053884851633567,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:40:42,30.0
4006,273.0,53.56122563962907,10.04903671010882,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:41:11,17.0
4016,273.0,53.56124196070273,10.048562543119363,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:41:21,9.0
4026,273.0,53.56125617780999,10.048092611580698,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:41:31,18.0
4036,266.0,53.561275659453166,10.046746546954028,SzLEdhKfQmq6MmOYG9ilg,2024-07-12 02:41:41,38.0
4066,198.0,53.5617668533863,10.055735836401755,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:34:04,34.0
4076,198.0,53.56116497759706,10.055390135897268,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:34:14,13.0
4086,198.0,53.5606406655103,10.055064086404323,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:35:02,35.0
4122,194.0,53.55740646977397,10.053303280128976,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:35:43,3.0
4132,160.0,53.55714722527098,10.0531672250667,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:35:53,4.0
4142,179.0,53.55648063224354,10.053145932291743,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:36:03,36.0
4152,150.0,53.555851296797,10.05334970568749,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:36:13,15.0
4162,132.0,53.55569147258877,10.053546536531451,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:36:32,8.0
4172,121.0,53.55557237735467,10.053865846388806,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:36:42,6.0
4182,111.0,53.5555382279575,10.053998706207976,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:36:52,4.0
4192,105.0,53.55551618766557,10.054155392524232,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:37:02,5.0
4202,97.0,53.55548347898195,10.054496113265827,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:37:12,7.0
4212,96.0,53.55545699661094,10.054734046608107,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:37:45,9.0
4222,96.0,53.55544006544102,10.055186744538652,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:37:58,15.0
4232,96.0,53.55535929390756,10.055886050695351,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:38:08,6.0
4242,96.0,53.55537089445191,10.056096573170278,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:38:51,9.0
4252,97.0,53.55529623728896,10.05694848833279,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:39:01,27.0
4262,130.0,53.5551993991643,10.057326896404868,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:40:06,8.0
4272,170.0,53.55443054840107,10.057517903867272,quXqQoYGSPmhFbgd6JrQSQ,2024-07-12 05:40:16,36.0
4310,284.0,53.5520568468346,10.049421107381036,TihulRuVQe1DMsZQNd8sw,2024-07-12 02:50:59,11.0
4346,283.0,53.55209786189218,10.049490253307034,kaDZ6YUQgWZXakPlwTtQ,2024-07-12 03:16:14,25.0
4356,280.0,53.55218016021711,10.048963637787857,kaDZ6YUQgWZXakPlwTtQ,2024-07-12 03:16:32,23.0
4383,281.0,53.56027963368644,10.06189151670992,3fjuBhNRRMalMjAtQoLPPw,2024-07-12 03:37:44,3.0
4534,270.0,53.56101887325408,10.055966839840355,4N2b5RWJQ8qHcMDgfub6A,2024-07-12 02:28:42,1.0
4544,281.0,53.56105296157295,10.055407531018316,4N2b5RWJQ8qHcMDgfub6A,2024-07-12 02:29:02,29.0
4612,42.0,53.55211099,10.0488997,QJpfOzNxSKL4Z8RxQfrNA,2024-07-12 01:26:35,16.0
4622,96.0,53.55199523,10.04997566,QJpfOzNxSKL4Z8RxQfrNA,2024-07-12 01:26:45,31.0
4652,354.0,53.55452551,10.05755978,QJpfOzNxSKL4Z8RxQfrNA,2024-07-12 01:28:54,30.0
4662,325.0,53.55492478,10.05749771,QJpfOzNxSKL4Z8RxQfrNA,2024-07-12 01:30:36,26.0
4735,282.0,53.560270652937085,10.062053469388008,gmW8VVYyRPIIQyw2ybGzQ,2024-07-12 05:31:58,2.0
4786,281.0,53.5606786099498,10.058698486236604,ThRcNnlsSY2bRewRMZIqQ,2024-07-12 04:46:24,31.0
4835,273.0,53.56120168525097,10.049151894111796,ThRcNnlsSY2bRewRMZIqQ,2024-07-12 04:47:13,32.0
4845,273.0,53.561225506777944,10.04833442191199,ThRcNnlsSY2bRewRMZIqQ,2024-07-12 04:47:23,5.0
4855,273.0,53.56120659417078,10.0482876195112,ThRcNnlsSY2bRewRMZIqQ,2024-07-12 04:47:43,1.0
4865,273.0,53.56121826171875,10.048333772051912,ThRcNnlsSY2bRewRMZIqQ,2024-07-12 04:48:00,1.0
4875,272.0,53.56126497578073,10.047448499900623,ThRcNnlsSY2bRewRMZIqQ,2024-07-12 04:48:10,34.0
4938,281.0,53.5521914962848,10.049065732280534,odzTkrfTlm9fRRFPXYMxQ,2024-07-12 05:17:35,39.0
4950,281.0,53.55240973078537,10.047116679407187,odzTkrfTlm9fRRFPXYMxQ,2024-07-12 05:17:47,37.0
4960,279.0,53.552573332171384,10.0456683059533,odzTkrfTlm9fRRFPXYMxQ,2024-07-12 05:17:57,35.0
5028,273.0,53.555431080407175,10.051075485400458,0sTzFejNSEWj8zhCcoikQ,2024-07-12 04:24:47,26.0
5064,96.0,53.560983,10.05006,aJGahG1TqyVevzd7VHeSw,2024-07-12 05:12:29,27.0
5076,104.0,53.560345,10.06038,aJGahG1TqyVevzd7VHeSw,2024-07-12 05:15:07,23.0
5119,273.0,53.56092399938488,10.056330223192514,z6ruJzbSOy2QqhKfTxXiQ,2024-07-12 04:31:16,23.0
5129,273.0,53.56098156215121,10.055011679180256,z6ruJzbSOy2QqhKfTxXiQ,2024-07-12 04:31:26,35.0
5207,101.0,53.55216477247037,10.04859028572881,dUkoAMUaRsSrIdpMDIxMw,2024-07-12 05:39:27,21.0
5303,282.0,53.56037836,10.06171069,mZARv6qoQF2KEOlLIzBZgw,2024-07-12 05:50:11,1.0
5313,290.0,53.56039435,10.06145985,mZARv6qoQF2KEOlLIzBZgw,2024-07-12 05:50:52,13.0
5323,337.0,53.56139389,10.06111092,mZARv6qoQF2KEOlLIzBZgw,2024-07-12 05:51:05,32.0
5333,327.0,53.56228229,10.06027269,mZARv6qoQF2KEOlLIzBZgw,2024-07-12 05:51:19,31.0
5345,281.0,53.56029521666666,10.061935633333334,WtcNkpzdS0yClZn7SOmIkA,2024-07-12 05:52:40,18.0
5376,277.0,53.560898849999994,10.056725533333331,WtcNkpzdS0yClZn7SOmIkA,2024-07-12 05:53:11,29.0
5386,274.0,53.560927783333334,10.0561726,WtcNkpzdS0yClZn7SOmIkA,2024-07-12 05:53:25,1.0
5396,273.0,53.56096335,10.055285183333332,WtcNkpzdS0yClZn7SOmIkA,2024-07-12 05:53:42,36.0
5515,278.0,53.560798000000005,10.057872899999998,lXEF75FvRAi2YGW9zoATKA,2024-07-12 05:17:23,37.0
5525,276.0,53.560891899999994,10.0565901,lXEF75FvRAi2YGW9zoATKA,2024-07-12 05:17:33,32.0
